ID,Original_End_Time,Converted_End_Time,Is_NaN_After_Conversion
A-3650461,2023-03-31 18:09:49.000000000,,True
A-3650462,2023-02-27 23:36:34.000000000,,True
A-3650463,2023-02-26 11:58:19.000000000,,True
A-3650464,2023-03-21 18:31:50.000000000,,True
A-3650465,2023-03-24 09:22:00.000000000,,True
A-3650466,2023-03-22 06:43:29.000000000,,True
A-3650467,2023-03-23 12:54:07.000000000,,True
A-3650469,2023-03-27 08:22:17.000000000,,True
A-3650472,2023-03-26 03:12:26.000000000,,True
A-3650473,2023-03-31 13:10:51.000000000,,True
A-3650474,2023-03-20 09:22:30.000000000,,True
A-3650475,2023-03-22 18:35:02.000000000,,True
A-3650476,2023-03-22 12:39:40.000000000,,True
A-3650477,2023-03-21 15:39:20.000000000,,True
A-3650478,2023-03-20 12:34:40.000000000,,True
A-3650480,2023-02-27 13:11:58.000000000,,True
A-3650481,2023-03-22 21:33:00.000000000,,True
A-3650482,2023-02-27 19:04:24.000000000,,True
A-3650483,2023-03-30 16:39:04.000000000,,True
A-3650484,2023-03-28 17:26:33.000000000,,True
A-3650485,2023-03-27 08:24:33.000000000,,True
A-3650486,2023-03-21 19:33:40.000000000,,True
A-3650487,2023-03-23 16:24:36.000000000,,True
A-3650488,2023-03-29 16:24:40.000000000,,True
A-3650489,2023-03-23 18:54:05.000000000,,True
A-3650490,2023-03-23 23:36:00.000000000,,True
A-3650491,2023-02-27 09:51:31.000000000,,True
A-3650492,2023-03-21 19:18:30.000000000,,True
A-3650493,2023-02-27 20:39:25.000000000,,True
A-3650495,2023-03-27 09:03:01.000000000,,True
A-3650496,2023-03-19 19:50:30.000000000,,True
A-3650499,2023-03-29 00:01:00.000000000,,True
A-3650501,2023-03-24 20:27:47.000000000,,True
A-3650503,2023-03-21 10:34:02.000000000,,True
A-3650504,2023-03-26 10:01:00.000000000,,True
A-3650505,2023-03-28 06:32:00.000000000,,True
A-3650506,2023-03-21 11:00:16.000000000,,True
A-3650508,2023-02-26 19:40:00.000000000,,True
A-3650509,2023-02-26 18:04:00.000000000,,True
A-3650510,2023-03-23 21:57:20.000000000,,True
A-3650511,2023-03-26 00:48:22.000000000,,True
A-3650512,2023-03-29 10:30:01.000000000,,True
A-3650514,2023-03-28 11:49:40.000000000,,True
A-3650515,2023-03-27 12:30:00.000000000,,True
A-3650516,2023-03-24 19:54:39.000000000,,True
A-3650517,2023-02-27 19:13:34.000000000,,True
A-3650519,2023-03-29 11:15:26.000000000,,True
A-3650520,2023-03-29 15:39:33.000000000,,True
A-3650521,2023-03-27 17:22:37.000000000,,True
A-3650522,2023-03-25 11:27:30.000000000,,True
A-3650523,2023-03-20 00:01:03.000000000,,True
A-3650528,2023-03-23 00:01:01.000000000,,True
A-3650529,2023-03-22 15:49:26.000000000,,True
A-3650530,2023-03-28 08:21:30.000000000,,True
A-3650531,2023-03-24 04:30:07.000000000,,True
A-3650533,2023-03-19 12:39:46.000000000,,True
A-3650534,2023-03-22 03:13:45.000000000,,True
A-3650535,2023-03-26 13:05:00.000000000,,True
A-3650536,2023-03-22 07:16:30.000000000,,True
A-3650537,2023-02-28 03:01:29.000000000,,True
A-3650538,2023-03-21 14:24:50.000000000,,True
A-3650539,2023-03-28 11:59:00.000000000,,True
A-3650540,2023-03-22 17:04:59.000000000,,True
A-3650541,2023-03-31 21:06:41.000000000,,True
A-3650544,2023-02-28 20:25:30.000000000,,True
A-3650546,2023-03-29 18:08:12.000000000,,True
A-3650547,2023-03-21 18:59:49.000000000,,True
A-3650549,2023-03-25 17:38:01.000000000,,True
A-3650552,2023-03-25 17:13:53.000000000,,True
A-3650553,2023-02-26 06:29:47.000000000,,True
A-3650554,2023-03-30 16:49:16.000000000,,True
A-3650555,2023-03-24 10:42:37.000000000,,True
A-3650556,2023-03-30 10:04:00.000000000,,True
A-3650559,2023-03-30 10:30:06.000000000,,True
A-3650561,2023-02-28 01:03:23.000000000,,True
A-3650562,2023-03-22 16:46:30.000000000,,True
A-3650564,2023-03-23 19:07:51.000000000,,True
A-3650565,2023-03-22 16:54:30.000000000,,True
A-3650567,2023-03-19 21:36:00.000000000,,True
A-3650568,2023-03-21 16:57:32.000000000,,True
A-3650569,2023-03-20 10:49:28.000000000,,True
A-3650570,2023-03-27 19:59:49.000000000,,True
A-3650571,2023-03-21 08:44:29.000000000,,True
A-3650572,2023-02-28 10:18:19.000000000,,True
A-3650573,2023-03-27 06:11:30.000000000,,True
A-3650575,2023-03-29 09:22:00.000000000,,True
A-3650576,2023-02-26 10:29:03.000000000,,True
A-3650577,2023-03-22 20:23:55.000000000,,True
A-3650578,2023-03-28 20:27:05.000000000,,True
A-3650580,2023-03-27 16:26:00.000000000,,True
A-3650583,2023-03-20 14:10:29.000000000,,True
A-3650584,2023-03-22 15:02:26.000000000,,True
A-3650586,2023-03-27 13:53:11.000000000,,True
A-3650587,2023-02-27 14:20:12.000000000,,True
A-3650588,2023-03-30 15:44:43.000000000,,True
A-3650589,2023-03-22 17:09:33.000000000,,True
A-3650590,2023-03-22 19:49:55.000000000,,True
A-3650591,2023-03-19 11:57:07.000000000,,True
A-3650593,2023-03-29 11:50:04.000000000,,True
A-3650594,2023-02-28 04:42:31.000000000,,True
A-3650595,2023-03-19 19:50:30.000000000,,True
A-3650596,2023-03-28 18:37:52.000000000,,True
A-3650597,2023-03-23 16:33:58.000000000,,True
A-3650598,2023-03-30 09:32:34.000000000,,True
A-3650600,2023-03-25 21:47:33.000000000,,True
A-3650601,2023-03-21 03:20:29.000000000,,True
A-3650604,2023-03-30 04:05:00.000000000,,True
A-3650605,2023-03-20 12:24:56.000000000,,True
A-3650606,2023-03-26 08:00:00.000000000,,True
